currentLanguage,Portuguese
operatingSystem,PC [Linux 4.19 Debian 10 64bit]
ipAddress,2804:14c:71:290c::2
ipCountry,BR
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,26.201590
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.6
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,debian-neuromat
gameDate,200424
gameTime,162539
gameRandom,426
playerAlias,c
limitPlays,12
totalCorrect,11
successRate,1.0
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,False
finalScoreboard,false
animationType,none
showHistory,False
sendMarkersToEEG,parallel
portEEGserial,COM4
groupCode,WEB
leftInputKey,F
centerInputKey,G
rightInputKey,H
speedGKAnim,2.0
portSendData,0xbd00
timeFaixa0,0.1
timeFaixa1,0.1
timeFaixa2,0.1
timeFaixa3,0.1
timeFaixa4,0.1
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,201201201201
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,2,n,1,false,1.343817,0.000000,1.348757
2,0,n,0,TRUE,0.037874,0.000000,3.325792
3,1,n,1,TRUE,0.379379,0.000000,5.494844
4,2,n,2,TRUE,0.398138,0.000000,7.613831
5,0,n,0,TRUE,0.415632,0.000000,9.999195
6,1,n,1,TRUE,0.254379,0.000000,11.984690
7,2,n,2,TRUE,0.309403,0.000000,14.017740
8,0,n,0,TRUE,0.346802,0.000000,16.326850
9,1,n,1,TRUE,0.261105,0.000000,18.321850
10,2,n,2,TRUE,0.306496,0.000000,20.341790
11,0,n,0,TRUE,0.366367,0.000000,22.666820
12,1,n,1,TRUE,0.281662,0.000000,24.683460
